,pool_id,overlap,infinite_overlap,created,image_left,image_right,golden,task_id,submitted,expired,public_comment,accepted,skipped,solution,id,task_suite_id,user_id,status,reward,mixed,automerged,owner__id,owner__myself,alg_left,alg_right,algs,task,chosen_alg,by_inconsistency_blocked_user,honeypotted,by_honeypot_blocked_user
0,4663981,11,False,2019-04-22T10:22:16.608,highlightdisk/screenshot_emails/sumy_lsa/letter14.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter14.png,,0000472aad--5cbd926e132842012e4a770a,2019-04-22T10:24:23.360,,,2019-04-22T10:24:23.360,,left,0000472aad--5cbd95d897c8a601392299db,0000472aad--5cbd95d897c8a601392299d9,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter14.png,sumy_lsa,False,False,False
1,4663981,,True,2019-04-22T10:22:16.608,highlightdisk/screenshot_emails/tf_idf_embeddings/letter13.png,highlightdisk/screenshot_emails/random/letter13.png,left,0000472aad--5cbd926e132842012e4a7726,2019-04-22T10:24:23.360,,,2019-04-22T10:24:23.360,,left,0000472aad--5cbd95d897c8a601392299db,0000472aad--5cbd95d897c8a601392299d9,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_embeddings,random,random__tf_idf_embeddings,letter13.png,tf_idf_embeddings,False,False,False
2,4663981,11,False,2019-04-22T10:22:16.608,highlightdisk/screenshot_emails/sumy_lsa/letter15.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter15.png,,0000472aad--5cbd926e132842012e4a770c,2019-04-22T10:24:23.360,,,2019-04-22T10:24:23.360,,left,0000472aad--5cbd95d897c8a601392299db,0000472aad--5cbd95d897c8a601392299d9,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter15.png,sumy_lsa,False,False,False
3,4663981,11,False,2019-04-22T10:22:16.608,highlightdisk/screenshot_emails/tf_idf_embeddings/letter17.png,highlightdisk/screenshot_emails/sumy_lsa/letter17.png,,0000472aad--5cbd926e132842012e4a770f,2019-04-22T10:24:23.360,,,2019-04-22T10:24:23.360,,left,0000472aad--5cbd95d897c8a601392299db,0000472aad--5cbd95d897c8a601392299d9,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_embeddings,sumy_lsa,sumy_lsa__tf_idf_embeddings,letter17.png,tf_idf_embeddings,False,False,False
4,4663981,11,False,2019-04-22T10:22:16.608,highlightdisk/screenshot_emails/sumy_lsa/letter7.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter7.png,,0000472aad--5cbd926e132842012e4a7720,2019-04-22T10:24:23.360,,,2019-04-22T10:24:23.360,,right,0000472aad--5cbd95d897c8a601392299db,0000472aad--5cbd95d897c8a601392299d9,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter7.png,tf_idf_embeddings,False,False,False
5,4663981,11,False,2019-04-22T10:22:46.749,highlightdisk/screenshot_emails/sumy_lsa/letter7.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter7.png,,0000472aad--5cbd926e132842012e4a7720,2019-04-22T10:24:10.655,,,2019-04-22T10:24:10.655,,left,0000472aad--5cbd95f6545c20013782e7f6,0000472aad--5cbd95f6545c20013782e7f4,ec4339b82b334204b3851137c42b73a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter7.png,sumy_lsa,False,False,False
6,4663981,11,False,2019-04-22T10:22:46.749,highlightdisk/screenshot_emails/tf_idf_embeddings/letter17.png,highlightdisk/screenshot_emails/sumy_lsa/letter17.png,,0000472aad--5cbd926e132842012e4a770f,2019-04-22T10:24:10.655,,,2019-04-22T10:24:10.655,,right,0000472aad--5cbd95f6545c20013782e7f6,0000472aad--5cbd95f6545c20013782e7f4,ec4339b82b334204b3851137c42b73a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_embeddings,sumy_lsa,sumy_lsa__tf_idf_embeddings,letter17.png,sumy_lsa,False,False,False
7,4663981,,True,2019-04-22T10:22:46.749,highlightdisk/screenshot_emails/random/letter19.png,highlightdisk/screenshot_emails/embeddings/letter19.png,right,0000472aad--5cbd926e132842012e4a772c,2019-04-22T10:24:10.655,,,2019-04-22T10:24:10.655,,right,0000472aad--5cbd95f6545c20013782e7f6,0000472aad--5cbd95f6545c20013782e7f4,ec4339b82b334204b3851137c42b73a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random,embeddings,embeddings__random,letter19.png,embeddings,False,False,False
8,4663981,11,False,2019-04-22T10:22:46.749,highlightdisk/screenshot_emails/sumy_lsa/letter15.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter15.png,,0000472aad--5cbd926e132842012e4a770c,2019-04-22T10:24:10.655,,,2019-04-22T10:24:10.655,,right,0000472aad--5cbd95f6545c20013782e7f6,0000472aad--5cbd95f6545c20013782e7f4,ec4339b82b334204b3851137c42b73a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter15.png,tf_idf_embeddings,False,False,False
9,4663981,11,False,2019-04-22T10:22:46.749,highlightdisk/screenshot_emails/sumy_lsa/letter14.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter14.png,,0000472aad--5cbd926e132842012e4a770a,2019-04-22T10:24:10.655,,,2019-04-22T10:24:10.655,,right,0000472aad--5cbd95f6545c20013782e7f6,0000472aad--5cbd95f6545c20013782e7f4,ec4339b82b334204b3851137c42b73a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter14.png,tf_idf_embeddings,False,False,False
10,4663981,11,False,2019-04-22T10:24:11.622,highlightdisk/screenshot_emails/sumy_lsa/letter17.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter17.png,,0000472aad--5cbd926e132842012e4a770e,2019-04-22T10:25:55.062,,,2019-04-22T10:25:55.062,,right,0000472aad--5cbd964b6f1ae90137a11bce,0000472aad--5cbd964b6f1ae90137a11bcb,ec4339b82b334204b3851137c42b73a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter17.png,tf_idf_embeddings,False,False,False
11,4663981,11,False,2019-04-22T10:24:11.622,highlightdisk/screenshot_emails/sumy_lsa/letter18.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter18.png,,0000472aad--5cbd926e132842012e4a7710,2019-04-22T10:25:55.062,,,2019-04-22T10:25:55.062,,left,0000472aad--5cbd964b6f1ae90137a11bce,0000472aad--5cbd964b6f1ae90137a11bcb,ec4339b82b334204b3851137c42b73a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter18.png,sumy_lsa,False,False,False
12,4663981,11,False,2019-04-22T10:24:11.622,highlightdisk/screenshot_emails/tf_idf_embeddings/letter11.png,highlightdisk/screenshot_emails/sumy_lsa/letter11.png,,0000472aad--5cbd926e132842012e4a7705,2019-04-22T10:25:55.062,,,2019-04-22T10:25:55.062,,right,0000472aad--5cbd964b6f1ae90137a11bce,0000472aad--5cbd964b6f1ae90137a11bcb,ec4339b82b334204b3851137c42b73a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_embeddings,sumy_lsa,sumy_lsa__tf_idf_embeddings,letter11.png,sumy_lsa,False,False,False
13,4663981,,True,2019-04-22T10:24:11.622,highlightdisk/screenshot_emails/random/letter4.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter4.png,right,0000472aad--5cbd926e132842012e4a7725,2019-04-22T10:25:55.062,,,2019-04-22T10:25:55.062,,right,0000472aad--5cbd964b6f1ae90137a11bce,0000472aad--5cbd964b6f1ae90137a11bcb,ec4339b82b334204b3851137c42b73a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random,tf_idf_embeddings,random__tf_idf_embeddings,letter4.png,tf_idf_embeddings,False,False,False
14,4663981,11,False,2019-04-22T10:24:11.622,highlightdisk/screenshot_emails/sumy_lsa/letter4.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter4.png,,0000472aad--5cbd926e132842012e4a771a,2019-04-22T10:25:55.062,,,2019-04-22T10:25:55.062,,right,0000472aad--5cbd964b6f1ae90137a11bce,0000472aad--5cbd964b6f1ae90137a11bcb,ec4339b82b334204b3851137c42b73a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter4.png,tf_idf_embeddings,False,False,False
15,4663981,11,False,2019-04-22T10:24:25.757,highlightdisk/screenshot_emails/sumy_lsa/letter18.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter18.png,,0000472aad--5cbd926e132842012e4a7710,2019-04-22T10:25:51.609,,,2019-04-22T10:25:51.609,,left,0000472aad--5cbd9659777f0a014c1406f3,0000472aad--5cbd9659777f0a014c1406f1,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter18.png,sumy_lsa,False,False,False
16,4663981,11,False,2019-04-22T10:24:25.757,highlightdisk/screenshot_emails/sumy_lsa/letter17.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter17.png,,0000472aad--5cbd926e132842012e4a770e,2019-04-22T10:25:51.609,,,2019-04-22T10:25:51.609,,right,0000472aad--5cbd9659777f0a014c1406f3,0000472aad--5cbd9659777f0a014c1406f1,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter17.png,tf_idf_embeddings,False,False,False
17,4663981,11,False,2019-04-22T10:24:25.757,highlightdisk/screenshot_emails/tf_idf_embeddings/letter11.png,highlightdisk/screenshot_emails/sumy_lsa/letter11.png,,0000472aad--5cbd926e132842012e4a7705,2019-04-22T10:25:51.609,,,2019-04-22T10:25:51.609,,left,0000472aad--5cbd9659777f0a014c1406f3,0000472aad--5cbd9659777f0a014c1406f1,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_embeddings,sumy_lsa,sumy_lsa__tf_idf_embeddings,letter11.png,tf_idf_embeddings,False,False,False
18,4663981,11,False,2019-04-22T10:24:25.757,highlightdisk/screenshot_emails/sumy_lsa/letter4.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter4.png,,0000472aad--5cbd926e132842012e4a771a,2019-04-22T10:25:51.609,,,2019-04-22T10:25:51.609,,right,0000472aad--5cbd9659777f0a014c1406f3,0000472aad--5cbd9659777f0a014c1406f1,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter4.png,tf_idf_embeddings,False,False,False
19,4663981,,True,2019-04-22T10:24:25.757,highlightdisk/screenshot_emails/random/letter6.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter6.png,right,0000472aad--5cbd926e132842012e4a7727,2019-04-22T10:25:51.609,,,2019-04-22T10:25:51.609,,right,0000472aad--5cbd9659777f0a014c1406f3,0000472aad--5cbd9659777f0a014c1406f1,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random,tf_idf_embeddings,random__tf_idf_embeddings,letter6.png,tf_idf_embeddings,False,False,False
20,4663981,11,False,2019-04-22T10:25:52.583,highlightdisk/screenshot_emails/tf_idf_embeddings/letter5.png,highlightdisk/screenshot_emails/sumy_lsa/letter5.png,,0000472aad--5cbd926e132842012e4a771d,2019-04-22T10:26:39.230,,,2019-04-22T10:26:39.230,,left,0000472aad--5cbd96b097c8a6013922ae53,0000472aad--5cbd96b097c8a6013922ae51,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_embeddings,sumy_lsa,sumy_lsa__tf_idf_embeddings,letter5.png,tf_idf_embeddings,False,False,False
21,4663981,11,False,2019-04-22T10:25:52.583,highlightdisk/screenshot_emails/tf_idf_embeddings/letter2.png,highlightdisk/screenshot_emails/sumy_lsa/letter2.png,,0000472aad--5cbd926e132842012e4a7715,2019-04-22T10:26:39.230,,,2019-04-22T10:26:39.230,,left,0000472aad--5cbd96b097c8a6013922ae53,0000472aad--5cbd96b097c8a6013922ae51,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_embeddings,sumy_lsa,sumy_lsa__tf_idf_embeddings,letter2.png,tf_idf_embeddings,False,False,False
22,4663981,,True,2019-04-22T10:25:52.583,highlightdisk/screenshot_emails/random/letter17.png,highlightdisk/screenshot_emails/embeddings/letter17.png,right,0000472aad--5cbd926e132842012e4a772a,2019-04-22T10:26:39.230,,,2019-04-22T10:26:39.230,,right,0000472aad--5cbd96b097c8a6013922ae53,0000472aad--5cbd96b097c8a6013922ae51,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random,embeddings,embeddings__random,letter17.png,embeddings,False,False,False
23,4663981,11,False,2019-04-22T10:25:52.583,highlightdisk/screenshot_emails/sumy_lsa/letter3.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter3.png,,0000472aad--5cbd926e132842012e4a7718,2019-04-22T10:26:39.230,,,2019-04-22T10:26:39.230,,right,0000472aad--5cbd96b097c8a6013922ae53,0000472aad--5cbd96b097c8a6013922ae51,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter3.png,tf_idf_embeddings,False,False,False
24,4663981,11,False,2019-04-22T10:25:52.583,highlightdisk/screenshot_emails/sumy_lsa/letter10.png,highlightdisk/screenshot_emails/tf_idf_embeddings/letter10.png,,0000472aad--5cbd926e132842012e4a7702,2019-04-22T10:26:39.230,,,2019-04-22T10:26:39.230,,right,0000472aad--5cbd96b097c8a6013922ae53,0000472aad--5cbd96b097c8a6013922ae51,79579abc8299bec0e717984afaa12c16,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,sumy_lsa,tf_idf_embeddings,sumy_lsa__tf_idf_embeddings,letter10.png,tf_idf_embeddings,False,False,False
