,pool_id,overlap,infinite_overlap,created,image_left,image_right,golden,task_id,submitted,expired,public_comment,accepted,solution,id,task_suite_id,user_id,status,reward,mixed,automerged,owner__id,owner__myself,alg_left,alg_right,algs,task,chosen_alg,by_inconsistency_blocked_user,honeypotted,by_honeypot_blocked_user
0,4657493,10,False,2019-04-21T20:32:08.691,highlightdisk/screenshot_emails/tf_idf_custom/letter1.png,highlightdisk/screenshot_emails/random_good/letter1.png,,0000471155--5cbccfd98456bd012e0a569e,2019-04-21T20:32:40.832,,,2019-04-21T20:32:40.832,left,0000471155--5cbcd3484819864f43997327,0000471155--5cbcd3484819864f43997324,e6ac1f6f75e2e9ee21612294a26da9a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_custom,random_good,random_good__tf_idf_custom,letter1.png,tf_idf_custom,False,False,False
1,4657493,10,False,2019-04-21T20:32:08.691,highlightdisk/screenshot_emails/random_good/letter9.png,highlightdisk/screenshot_emails/tf_idf_custom/letter9.png,,0000471155--5cbccfd98456bd012e0a56c3,2019-04-21T20:32:40.832,,,2019-04-21T20:32:40.832,right,0000471155--5cbcd3484819864f43997327,0000471155--5cbcd3484819864f43997324,e6ac1f6f75e2e9ee21612294a26da9a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random_good,tf_idf_custom,random_good__tf_idf_custom,letter9.png,tf_idf_custom,False,False,False
2,4657493,10,False,2019-04-21T20:32:08.691,highlightdisk/screenshot_emails/random_good/letter20.png,highlightdisk/screenshot_emails/tf_idf_custom/letter20.png,,0000471155--5cbccfd98456bd012e0a56b5,2019-04-21T20:32:40.832,,,2019-04-21T20:32:40.832,right,0000471155--5cbcd3484819864f43997327,0000471155--5cbcd3484819864f43997324,e6ac1f6f75e2e9ee21612294a26da9a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random_good,tf_idf_custom,random_good__tf_idf_custom,letter20.png,tf_idf_custom,False,False,False
3,4657493,,True,2019-04-21T20:32:08.691,highlightdisk/screenshot_emails/tf_idf_embeddings/letter5.png,highlightdisk/screenshot_emails/random/letter5.png,left,0000471155--5cbccfd98456bd012e0a56cc,2019-04-21T20:32:40.832,,,2019-04-21T20:32:40.832,left,0000471155--5cbcd3484819864f43997327,0000471155--5cbcd3484819864f43997324,e6ac1f6f75e2e9ee21612294a26da9a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_embeddings,random,random__tf_idf_embeddings,letter5.png,tf_idf_embeddings,False,False,False
4,4657493,10,False,2019-04-21T20:32:08.691,highlightdisk/screenshot_emails/random_good/letter1.png,highlightdisk/screenshot_emails/tf_idf_custom/letter1.png,,0000471155--5cbccfd98456bd012e0a569d,2019-04-21T20:32:40.832,,,2019-04-21T20:32:40.832,right,0000471155--5cbcd3484819864f43997327,0000471155--5cbcd3484819864f43997324,e6ac1f6f75e2e9ee21612294a26da9a1,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random_good,tf_idf_custom,random_good__tf_idf_custom,letter1.png,tf_idf_custom,False,False,False
5,4657493,,True,2019-04-21T20:32:11.844,highlightdisk/screenshot_emails/random/letter7.png,highlightdisk/screenshot_emails/tf_idf_custom/letter7.png,right,0000471155--5cbccfd98456bd012e0a56ca,,2019-04-21T20:32:30.432,,,,0000471155--5cbcd34ba04cb2013696867f,0000471155--5cbcd34ba04cb2013696867d,05daf7c2a4107792cde0986e01c52233,EXPIRED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random,tf_idf_custom,random__tf_idf_custom,letter7.png,,False,False,False
6,4657493,10,False,2019-04-21T20:32:11.844,highlightdisk/screenshot_emails/random_good/letter1.png,highlightdisk/screenshot_emails/tf_idf_custom/letter1.png,,0000471155--5cbccfd98456bd012e0a569d,,2019-04-21T20:32:30.432,,,,0000471155--5cbcd34ba04cb2013696867f,0000471155--5cbcd34ba04cb2013696867d,05daf7c2a4107792cde0986e01c52233,EXPIRED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random_good,tf_idf_custom,random_good__tf_idf_custom,letter1.png,,False,False,False
7,4657493,10,False,2019-04-21T20:32:11.844,highlightdisk/screenshot_emails/random_good/letter20.png,highlightdisk/screenshot_emails/tf_idf_custom/letter20.png,,0000471155--5cbccfd98456bd012e0a56b5,,2019-04-21T20:32:30.432,,,,0000471155--5cbcd34ba04cb2013696867f,0000471155--5cbcd34ba04cb2013696867d,05daf7c2a4107792cde0986e01c52233,EXPIRED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random_good,tf_idf_custom,random_good__tf_idf_custom,letter20.png,,False,False,False
8,4657493,10,False,2019-04-21T20:32:11.844,highlightdisk/screenshot_emails/random_good/letter9.png,highlightdisk/screenshot_emails/tf_idf_custom/letter9.png,,0000471155--5cbccfd98456bd012e0a56c3,,2019-04-21T20:32:30.432,,,,0000471155--5cbcd34ba04cb2013696867f,0000471155--5cbcd34ba04cb2013696867d,05daf7c2a4107792cde0986e01c52233,EXPIRED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random_good,tf_idf_custom,random_good__tf_idf_custom,letter9.png,,False,False,False
9,4657493,10,False,2019-04-21T20:32:11.844,highlightdisk/screenshot_emails/tf_idf_custom/letter1.png,highlightdisk/screenshot_emails/random_good/letter1.png,,0000471155--5cbccfd98456bd012e0a569e,,2019-04-21T20:32:30.432,,,,0000471155--5cbcd34ba04cb2013696867f,0000471155--5cbcd34ba04cb2013696867d,05daf7c2a4107792cde0986e01c52233,EXPIRED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_custom,random_good,random_good__tf_idf_custom,letter1.png,,False,False,False
